"","nicheout$RAINFALL"
"1",230
"2",215
"3",1.60000002384186
"4",0
"5",0
"6",0
"7",2
"8",5.80000019073486
"9",117.800003051758
"10",21.2999992370605
"11",0
"12",5.30000019073486
"13",77.6999969482422
"14",12.3999996185303
"15",11.3999996185303
"16",17.1000003814697
"17",10.3999996185303
"18",0
"19",4.5
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",5.09999990463257
"35",59.2999992370605
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",2.29999995231628
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",93.6999969482422
"77",3.70000004768372
"78",1.79999995231628
"79",0
"80",0
"81",0
"82",0
"83",1.20000004768372
"84",7.30000019073486
"85",0
"86",0
"87",0
"88",1.20000004768372
"89",8.80000019073486
"90",78.3000030517578
"91",0
"92",27.7999992370605
"93",13.3000001907349
"94",0
"95",1.60000002384186
"96",0
"97",0
"98",0
"99",0
"100",0
"101",38.9000015258789
"102",0
"103",0
"104",0
"105",0
"106",14.6000003814697
"107",8.80000019073486
"108",0
"109",9.89999961853027
"110",20.2000007629395
"111",26.2999992370605
"112",16.6000003814697
"113",3.90000009536743
"114",15.6999998092651
"115",3.59999990463257
"116",39.5
"117",5.59999990463257
"118",39.9000015258789
"119",16.2000007629395
"120",0
"121",0
"122",67.4000015258789
"123",4
"124",5.69999980926514
"125",9.10000038146973
"126",0
"127",0
"128",0
"129",6.5
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",21.6000003814697
"138",1.10000002384186
"139",6.69999980926514
"140",0
"141",9.30000019073486
"142",4.09999990463257
"143",0
"144",10.6999998092651
"145",5.30000019073486
"146",32
"147",1.10000002384186
"148",1.10000002384186
"149",0
"150",1.29999995231628
"151",13.5
"152",84
"153",52.7000007629395
"154",130
"155",4.80000019073486
"156",1.89999997615814
"157",4.09999990463257
"158",0
"159",7.59999990463257
"160",1.10000002384186
"161",0
"162",0
"163",2
"164",0
"165",0
"166",62.2999992370605
"167",31
"168",4.90000009536743
"169",8.19999980926514
"170",3.29999995231628
"171",0
"172",0
"173",0
"174",1.20000004768372
"175",1.5
"176",1.20000004768372
"177",0
"178",0
"179",0
"180",2.29999995231628
"181",0
"182",20.6000003814697
"183",27.5
"184",29
"185",1.70000004768372
"186",76.9000015258789
"187",44.5999984741211
"188",10.3999996185303
"189",0
"190",18.6000003814697
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",15.1999998092651
"199",6.19999980926514
"200",0
"201",0
"202",0
"203",31.7000007629395
"204",36.2999992370605
"205",7.09999990463257
"206",0
"207",0
"208",2.40000009536743
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",1.79999995231628
"216",9
"217",13.5
"218",12.8000001907349
"219",53.7999992370605
"220",1.5
"221",3.29999995231628
"222",0
"223",0
"224",0
"225",17.7000007629395
"226",9.19999980926514
"227",21.6000003814697
"228",3.09999990463257
"229",19.1000003814697
"230",0
"231",0
"232",2.59999990463257
"233",9
"234",17.5
"235",4.30000019073486
"236",1.89999997615814
"237",5.09999990463257
"238",0
"239",0
"240",13.1000003814697
"241",6
"242",0
"243",0
"244",0
"245",0
"246",4.80000019073486
"247",1.89999997615814
"248",0
"249",0
"250",13.1999998092651
"251",7.30000019073486
"252",3.90000009536743
"253",226.899993896484
"254",91.4000015258789
"255",5.59999990463257
"256",1.29999995231628
"257",0
"258",0
"259",0
"260",0
"261",0
"262",56.0999984741211
"263",21
"264",28.2999992370605
"265",35.0999984741211
"266",0
"267",20.2999992370605
"268",3.09999990463257
"269",0
"270",42.0999984741211
"271",25.5
"272",10.3999996185303
"273",1.29999995231628
"274",0
"275",34.5999984741211
"276",63.4000015258789
"277",0
"278",0
"279",3.29999995231628
"280",12.8000001907349
"281",3.5
"282",5.80000019073486
"283",7.5
"284",3.90000009536743
"285",4
"286",57
"287",184.699996948242
"288",1.89999997615814
"289",5.59999990463257
"290",38
"291",59.7999992370605
"292",0
"293",0
"294",98
"295",5.30000019073486
"296",61.5999984741211
"297",145.800003051758
"298",34.5999984741211
"299",94.3000030517578
"300",12.1999998092651
"301",1.29999995231628
"302",1.10000002384186
"303",31.3999996185303
"304",2.59999990463257
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",3.20000004768372
"320",2.09999990463257
"321",0
"322",0
"323",0
"324",11.3000001907349
"325",2.59999990463257
"326",0
"327",0
"328",0
"329",44.4000015258789
"330",4.30000019073486
"331",0
"332",0
"333",101.800003051758
"334",12.3000001907349
"335",0
"336",0
"337",0
"338",0
"339",0
"340",21.1000003814697
"341",103.199996948242
"342",14.3000001907349
"343",0
"344",0
"345",0
"346",48.0999984741211
"347",0
"348",0
"349",1.39999997615814
"350",2.5
"351",0
"352",0
"353",0
"354",0
"355",31.8999996185303
"356",0
"357",16
"358",73.9000015258789
"359",6.09999990463257
"360",0
"361",0
"362",1.10000002384186
"363",6.19999980926514
"364",23.7999992370605
"365",8.5
